1000 2676
362 200
1 200 8
1 362 50
1 650 74
2 200 59
2 362 31
3 238 73
3 274 45
3 362 79
4 200 24
4 362 10
4 883 41
5 6 66
5 200 93
5 362 43
5 365 88
5 733 4
6 200 28
6 233 30
6 362 41
7 598 13
7 619 4
7 720 70
7 841 10
8 31 58
8 200 61
8 362 34
8 729 100
9 200 79
9 296 17
9 362 36
10 148 98
10 200 27
10 362 13
10 437 68
10 814 11
11 30 34
11 42 80
11 200 50
11 449 80
11 818 22
12 200 68
12 362 73
12 721 94
12 981 37
13 227 86
13 362 46
13 563 29
13 826 92
14 200 95
14 362 58
14 573 2
14 971 54
15 200 9
15 362 45
16 50 69
16 200 91
16 362 25
16 570 97
16 949 31
17 200 4
17 362 23
17 431 67
18 362 50
18 520 25
18 623 2
18 653 54
19 200 78
19 362 9
19 979 29
20 96 34
20 200 99
20 362 82
20 497 36
21 200 14
21 299 66
21 858 15
22 200 64
22 518 37
22 602 26
23 200 70
23 362 16
23 757 95
24 200 30
24 275 2
24 344 18
24 362 96
24 637 6
25 200 5
25 362 52
25 452 99
25 890 89
25 936 24
26 200 6
26 362 83
26 424 53
26 575 67
26 606 17
26 930 38
27 200 39
27 362 45
28 163 2
28 200 98
28 362 72
29 153 29
29 200 38
29 256 59
29 984 78
30 200 98
30 242 95
30 643 5
31 49 10
31 200 32
31 362 46
31 659 76
31 755 36
32 183 99
32 200 43
32 362 100
32 503 69
33 47 13
33 200 61
33 362 58
33 605 95
33 985 9
34 82 96
34 200 69
34 362 14
34 538 31
35 200 7
35 362 63
35 459 43
36 167 66
36 200 83
36 496 53
36 507 68
36 860 22
36 866 96
37 133 13
37 200 72
37 362 2
38 200 91
38 349 32
38 362 39
38 849 58
39 63 17
39 200 91
39 362 41
39 450 80
39 928 36
40 200 7
40 362 73
40 766 99
41 200 96
41 246 20
41 835 55
42 200 24
42 362 90
42 539 61
43 199 6
43 200 27
43 362 24
43 405 7
44 200 14
44 362 71
44 715 39
45 66 95
45 85 21
45 154 45
45 207 67
45 362 35
45 985 27
46 200 95
46 381 64
46 684 39
46 967 45
47 200 91
47 275 51
47 362 60
48 82 24
48 200 48
48 362 86
49 200 18
49 362 73
50 154 40
50 200 48
50 362 86
51 163 97
51 200 86
51 362 24
51 599 21
51 945 45
52 200 69
52 362 36
53 200 16
53 243 26
53 362 35
53 715 43
54 110 12
54 200 80
54 362 53
54 782 45
54 993 96
55 196 19
55 200 97
55 362 93
56 200 16
56 362 92
56 572 34
56 841 70
57 67 98
57 87 54
57 200 48
57 647 26
58 200 11
58 362 63
59 200 12
59 362 9
59 664 78
59 990 62
60 67 26
60 200 36
60 349 69
60 538 96
60 761 77
61 200 68
61 362 40
62 115 75
62 200 32
62 362 57
63 295 2
63 362 73
63 669 61
63 867 95
64 200 85
64 216 56
64 362 90
64 813 8
65 200 16
65 340 94
65 362 70
65 574 81
66 136 56
66 362 56
66 522 7
67 123 64
67 200 3
67 358 77
67 430 9
68 200 50
68 362 32
68 540 45
69 200 39
69 315 9
69 362 98
70 93 52
70 200 50
70 225 4
70 362 32
71 149 32
71 200 15
71 362 20
71 634 76
71 982 10
72 200 81
72 664 30
73 200 24
73 362 55
74 200 61
74 362 38
75 362 46
75 623 18
75 643 26
76 200 1
76 311 57
76 503 65
76 769 98
77 151 49
77 200 5
78 153 51
78 175 51
78 200 77
78 371 13
78 394 55
78 754 98
78 850 5
79 200 82
79 362 49
79 821 66
80 200 79
80 300 100
80 362 10
80 654 30
81 200 54
81 227 84
81 362 48
81 524 8
82 200 74
82 296 23
82 362 6
82 514 77
82 885 54
83 200 25
83 362 31
84 200 67
84 362 1
84 952 45
85 362 71
86 200 86
86 362 17
86 895 99
87 200 56
87 390 34
88 200 58
88 298 77
88 818 79
89 223 67
89 362 58
89 582 12
90 200 79
90 362 15
90 635 20
91 159 38
91 200 34
91 369 92
91 403 21
91 784 63
92 200 34
92 362 98
93 200 32
93 362 89
93 799 90
94 200 74
94 339 78
94 349 5
94 362 59
94 428 1
95 200 55
95 362 61
96 200 16
96 337 48
96 362 81
97 200 31
97 362 56
97 461 47
97 985 8
98 200 39
98 362 1
99 120 27
99 149 36
99 200 58
99 362 14
100 200 15
100 362 94
101 189 61
101 200 55
101 601 19
101 664 58
101 827 86
101 965 30
101 968 16
102 200 64
102 222 3
102 362 18
103 200 44
103 362 20
103 477 68
103 743 48
104 200 70
104 362 96
105 200 4
105 362 74
105 637 4
105 737 49
106 137 86
106 200 59
106 362 60
106 604 7
106 748 31
107 200 25
107 362 33
107 702 74
108 200 4
108 362 98
109 200 21
109 362 51
110 200 32
110 242 81
111 266 4
111 362 1
111 677 21
111 683 34
111 902 59
112 200 4
112 362 77
112 391 51
112 560 35
113 200 81
113 265 80
113 362 33
113 567 75
114 200 50
114 362 43
114 388 50
114 857 72
114 865 11
115 200 80
115 362 84
116 200 71
116 362 41
117 362 24
117 420 51
117 917 72
117 961 30
118 200 19
118 362 47
119 200 100
119 362 31
119 814 22
120 200 77
120 315 25
120 362 45
121 200 59
121 362 97
122 200 72
122 362 65
122 407 61
123 200 99
123 362 52
123 597 41
124 200 4
124 362 52
124 404 2
124 681 6
125 200 81
125 362 19
126 200 75
126 661 50
126 942 14
127 200 21
127 362 26
128 200 13
128 291 84
128 362 89
128 572 18
128 722 9
129 200 51
129 245 25
129 362 96
129 874 58
130 155 12
130 200 91
130 362 67
130 845 11
131 200 94
131 362 54
131 930 66
132 200 61
132 362 43
132 419 4
133 200 53
133 290 8
133 362 42
133 408 11
133 808 1
134 200 100
134 362 28
134 491 72
134 992 88
135 200 15
135 362 26
135 998 42
136 200 18
136 362 49
136 610 43
137 196 16
137 200 75
137 362 46
138 200 74
138 299 21
139 200 12
139 526 40
139 666 55
139 758 6
140 208 30
140 362 54
140 614 90
140 718 67
141 200 57
141 299 5
141 986 61
142 362 99
142 521 93
143 153 21
143 200 17
143 362 81
143 416 68
144 185 53
144 200 40
144 362 99
144 490 2
145 362 12
145 718 17
146 158 92
146 200 72
146 362 29
146 900 72
147 294 62
147 347 46
147 362 21
147 592 41
147 795 59
147 900 54
148 200 28
148 362 51
149 200 12
149 362 64
149 579 95
150 200 34
150 362 28
150 725 28
151 571 96
151 824 32
152 200 43
152 255 17
152 326 7
152 362 16
153 200 25
153 642 2
153 690 98
153 904 62
154 173 4
154 362 25
154 812 9
155 200 37
155 274 82
