5000 25083
567 2345
1 164 8
1 245 50
1 446 74
1 511 59
1 792 31
1 1157 73
1 1746 45
1 2303 79
1 2817 24
1 3233 10
1 4042 41
2 215 66
2 633 93
2 657 43
2 2284 88
2 2411 4
2 3225 28
2 3925 30
2 3945 41
2 4119 13
2 4125 4
3 348 70
3 358 10
3 1368 58
3 1704 61
3 2886 34
3 2994 100
3 3668 79
3 3885 17
3 3980 36
3 4063 98
3 4885 27
4 843 13
4 1545 68
4 1625 11
4 1873 34
4 2726 80
4 2897 50
4 3050 80
4 3063 22
5 339 68
5 718 73
5 905 94
5 1024 37
5 1083 86
5 1326 46
5 1704 29
5 2124 92
5 2930 95
5 3389 58
5 3614 2
5 4775 54
6 893 9
6 1253 45
6 1966 69
6 2784 91
6 2907 25
6 3721 97
6 3757 31
7 163 4
7 322 23
7 461 67
7 843 50
7 1228 25
7 1281 2
7 1482 54
7 1970 78
7 3872 9
7 4743 29
8 570 34
8 864 99
8 1117 82
8 1691 36
8 1773 14
8 1797 66
8 2978 15
8 3202 64
8 3317 37
8 3884 26
8 4880 70
8 4962 16
9 535 95
9 1020 30
9 2505 2
9 2809 18
9 2838 96
9 3497 6
9 3561 5
9 3982 52
9 4468 99
10 73 89
10 983 24
10 1587 6
10 2277 83
10 2488 53
10 2496 67
10 2687 17
10 2858 38
10 3549 39
10 4566 45
11 931 2
11 1564 98
11 1708 72
11 2164 29
11 2550 38
11 2796 59
11 2971 78
11 3039 98
11 4158 95
11 4701 5
12 477 10
12 760 32
12 837 46
12 870 76
12 1351 36
12 1379 99
12 1603 43
12 1822 100
12 2281 69
12 2552 13
12 2994 61
12 3318 58
12 3371 95
12 3735 9
12 4400 96
12 4728 69
13 415 14
13 596 31
13 1735 7
13 1845 63
13 1992 43
13 3455 66
13 3736 83
13 4475 53
13 4570 68
13 4761 22
13 4849 96
13 4956 13
14 1032 72
14 1181 2
14 2204 91
14 2334 32
14 2974 39
14 3221 58
14 3305 17
14 3682 91
14 4177 41
15 569 80
15 775 36
15 787 7
15 859 73
15 1410 99
15 1914 96
15 2764 20
15 2918 55
15 3602 24
15 4412 90
15 4796 61
16 79 6
16 399 27
16 870 24
16 1642 7
16 3373 14
16 4687 71
17 114 39
17 1024 95
17 1064 21
17 2567 45
17 2844 67
17 3057 35
17 3893 27
17 3993 95
17 4237 64
18 320 39
18 720 45
18 1544 91
18 1661 51
18 1972 60
18 2217 24
18 2373 48
18 2400 86
18 3180 18
18 4819 73
18 4905 40
19 474 48
19 600 86
19 780 97
19 1670 86
19 2173 24
19 2368 21
19 3075 45
19 3331 69
19 3731 36
19 3957 16
19 4066 26
19 4465 35
19 4597 43
19 4998 12
20 295 80
20 595 53
20 918 45
20 1059 96
20 1249 19
20 1776 97
20 2226 93
20 2743 16
20 2837 92
20 2846 34
20 3796 70
20 3877 98
20 4699 54
20 4917 48
21 542 26
21 612 11
21 1507 63
21 3439 12
21 3806 9
21 3988 78
21 3996 62
21 4066 26
21 4268 36
21 4589 69
21 4687 96
21 4780 77
22 332 68
22 881 40
22 1095 75
22 1284 32
22 1308 57
22 1695 2
22 2080 73
22 2860 61
22 3635 95
23 932 85
23 1324 56
23 1399 90
23 1660 8
23 2135 16
23 2945 94
23 2980 70
23 3126 81
23 3237 56
23 3292 56
23 3421 7
23 3572 64
24 1763 3
24 2189 77
24 2416 9
24 2718 50
24 3185 32
24 3220 45
24 3380 39
24 4707 9
25 897 98
25 1951 52
25 2348 50
25 2357 4
25 2911 32
25 3568 32
25 3733 15
25 3983 20
25 4215 76
26 715 10
26 722 81
26 988 30
26 1658 24
26 3362 55
26 3999 61
26 4644 38
26 4838 46
26 4876 18
26 4934 26
27 799 1
27 1062 57
27 1652 65
27 1675 98
27 3646 49
27 4661 5
28 829 51
28 905 51
28 1468 77
28 1722 13
28 2036 55
28 2421 98
28 2918 5
28 3872 82
28 4216 49
29 197 66
29 368 79
29 678 100
29 826 10
29 2731 30
29 2970 54
29 2975 84
29 3610 48
29 4713 8
30 348 74
30 688 23
30 1558 6
30 1981 77
30 3066 54
30 3608 25
31 718 31
31 808 67
31 869 1
31 1268 45
31 1740 71
31 2190 86
31 2643 17
31 2739 99
31 2974 56
31 3119 34
31 3296 58
31 3503 77
31 3812 79
31 3992 67
31 4201 58
31 4489 12
32 137 79
32 375 15
32 1001 20
32 2146 38
32 2393 34
32 2483 92
32 3893 21
32 4195 63
32 4740 34
32 4797 98
32 4998 32
33 666 89
33 1213 90
33 2480 74
33 2880 78
33 3725 5
33 3853 59
33 4171 1
33 4641 55
33 4716 61
33 4721 16
33 4898 48
34 573 81
34 1007 31
34 2227 56
34 2438 47
34 3570 8
34 4898 39
35 124 1
35 168 27
35 359 36
35 826 58
35 953 14
35 2464 15
35 3281 94
35 3538 61
35 3765 55
35 4117 19
35 4537 58
36 2199 86
36 3038 30
36 3198 16
36 3810 64
36 3969 3
36 4345 18
36 4379 44
36 4611 20
36 4690 68
37 333 48
37 681 70
37 1888 96
37 2711 4
37 2777 74
37 2966 4
37 3072 49
37 3882 86
37 4461 59
37 4802 60
38 134 7
38 823 31
38 1134 25
38 1157 33
38 1362 74
38 1810 4
38 2148 98
38 3890 21
38 4144 51
38 4230 32
39 334 81
39 1995 4
39 2593 1
39 4395 21
39 4597 34
39 4664 59
39 4932 4
40 214 77
40 1846 51
40 2455 35
40 2911 81
40 3316 80
40 3402 33
40 3483 75
40 3569 50
40 3995 43
40 4133 50
40 4282 72
40 4668 11
41 877 80
41 1062 84
41 1469 71
41 2419 41
41 4616 24
41 4835 51
41 4885 72
42 580 30
42 714 19
42 2196 47
42 2663 100
42 2745 31
42 3786 22
42 4210 77
42 4484 25
43 183 45
43 812 59
43 923 97
43 1402 72
43 1482 65
43 1625 61
43 1978 99
43 1999 52
43 2088 41
43 2136 4
43 2546 52
43 3421 2
43 3841 6
43 3905 81
43 4880 19
44 152 75
44 182 50
44 607 14
44 864 21
44 1708 26
44 1854 13
44 2060 84
44 2095 89
44 2183 18
44 2307 9
44 2917 51
44 3503 25
44 3722 96
44 4072 58
45 467 12
45 525 91
45 836 67
45 882 11
45 1685 94
45 1750 54
45 1787 66
45 1967 61
45 2265 43
45 2607 4
45 3334 53
45 4048 8
46 200 42
46 574 11
46 1349 1
46 1409 100
46 2344 28
46 2358 72
46 2574 88
46 4658 15
46 4882 26
47 186 42
47 439 18
47 547 49
47 824 43
47 1923 16
47 2635 75
47 3640 46
47 4429 74
47 4881 21
48 216 12
48 480 40
48 716 55
48 885 6
48 2653 30
48 2958 54
48 3302 90
48 3642 67
48 3677 57
48 4018 5
48 4231 61
48 4561 99
48 4585 93
49 189 21
49 899 17
49 1020 81
49 1358 68
49 1932 53
49 2466 40
49 3518 99
49 4144 2
49 4647 12
49 4835 17
50 578 92
50 806 72
50 1292 29
50 1685 72
50 3332 62
50 3365 46
50 4245 21
50 4548 41
51 894 59
51 926 54
51 1708 28
51 2279 51
51 2833 12
51 3254 64
51 3854 95
51 3941 34
51 4003 28
51 4740 28
52 107 96
52 450 32
52 1955 43
52 2597 17
52 3092 7
52 3178 16
52 3904 25
53 904 2
53 1197 98
53 2087 62
53 2145 4
53 2391 25
53 2399 9
53 2470 37
53 3455 82
53 4006 16
53 4156 11
53 4373 17
53 4520 6
54 282 74
54 325 82
54 745 21
54 984 92
54 1367 70
54 1369 66
54 2240 28
54 2248 37
54 2288 29
54 2410 26
54 2622 85
54 2665 68
54 2993 50
54 3411 77
54 4023 47
54 4801 77
55 933 67
55 1295 68
55 1313 21
55 2142 85
55 3253 92
55 3428 11
55 3579 59
55 3669 12
55 3884 45
56 572 19
56 1026 19
56 1049 35
56 1279 26
56 1796 68
56 2570 90
56 3172 19
56 4215 15
56 4874 26
56 4911 19
57 272 29
57 684 30
57 695 35
57 724 28
57 2268 41
57 2535 55
57 2992 41
57 3340 97
57 3445 36
57 4870 84
58 178 49
58 672 66
58 1548 12
58 2143 53
58 2995 65
58 3106 77
58 4243 38
58 4361 76
58 4454 46
59 1210 11
59 1284 16
59 1546 93
59 2368 11
59 2716 48
59 2981 38
59 3138 100
59 3513 48
59 3607 16
59 3694 94
59 4113 80
59 4386 30
59 4414 65
59 4706 80
59 4735 2
59 4903 26
60 418 90
60 430 59
60 1465 34
60 1667 1
60 2034 90
60 2045 71
60 2746 18
60 4036 47
60 4057 39
61 2493 44
61 2837 39
61 3056 37
61 3306 22
61 3383 20
61 3601 97
62 236 48
62 318 89
62 579 60
62 1699 88
62 1757 36
62 2429 36
62 3017 13
62 3618 85
63 146 90
63 429 85
63 557 35
63 638 68
63 2191 20
63 4612 16
63 4817 46
63 4953 77
64 737 62
64 929 26
64 1047 20
64 1325 32
64 1939 4
64 2232 99
64 2760 99
64 2968 40
64 3716 5
64 3751 4
64 4372 80
64 4785 66
65 542 92
65 1126 8
65 2266 25
65 2498 66
65 3735 22
65 4413 55
65 4590 7
66 110 51
66 601 4
66 2848 33
66 3040 33
66 3660 42
66 4024 55
67 510 78
67 716 18
67 1541 1
67 1921 90
67 2354 66
67 2865 48
67 3125 23
67 3891 80
67 4297 18
67 4655 17
67 4658 49
67 4811 63
68 414 30
68 2115 40
68 2780 9
68 2838 4
68 3147 58
68 3148 62
68 3595 53
68 3847 67
68 3881 22
68 4346 58
69 77 97
69 136 56
69 951 31
69 1001 95
69 2148 56
69 2161 22
69 2819 13
69 4395 94
70 112 28
70 819 33
70 964 45
70 1321 92
70 2588 99
70 3041 53
70 3324 57
70 4012 71
70 4402 4
71 85 40
71 114 15
71 214 100
71 823 67
71 934 36
71 991 22
71 1358 44
71 1402 53
71 1794 87
71 2104 20
71 2209 51
71 2619 11
71 3490 24
71 4550 70
71 4732 6
72 876 44
72 913 12
72 2134 32
72 2716 93
72 2769 17
72 2971 100
72 3490 72
72 4423 40
72 4639 71
72 4851 37
73 511 92
73 802 58
73 887 34
73 1708 29
73 2375 78
73 2591 11
73 3146 84
73 3632 77
73 3955 90
74 890 92
74 1358 35
74 2242 12
74 2271 5
74 3661 27
74 3889 92
74 4809 91
75 109 23
75 1117 65
75 1917 91
75 1956 85
75 2546 14
75 3158 42
75 3902 28
75 4412 80
75 4626 85
75 4898 38
76 260 71
76 263 62
76 1509 82
76 2534 66
76 2609 3
76 4376 33
76 4450 33
77 184 55
77 419 60
77 653 48
77 1804 78
77 2075 63
77 3377 11
77 3678 20
78 203 51
78 303 78
78 385 42
78 761 37
78 2306 21
78 2311 100
78 4550 13
78 4689 60
79 1864 57
79 3165 91
79 4274 53
79 4672 49
79 4900 15
80 799 45
80 1017 19
80 1203 51
80 2380 2
80 2473 96
80 2662 22
80 2734 32
80 3229 2
80 3327 46
80 3940 62
80 3989 58
81 396 11
81 1861 29
81 2400 6
81 2810 74
81 3036 38
81 4003 70
81 4355 97
81 4995 4
82 159 22
82 2055 76
82 2660 19
82 3093 1
82 3267 90
82 3307 63
82 4143 55
82 4841 64
83 3106 44
83 3720 90
83 3804 51
83 4143 36
83 4494 16
84 646 65
84 1170 95
84 1730 64
84 2295 59
84 2480 53
84 2524 93
84 2873 17
84 3168 15
84 3286 21
84 3716 61
84 3863 51
85 299 69
85 635 42
85 1498 48
85 2056 97
85 2946 88
85 4734 2
85 4807 35
85 4896 29
86 1054 72
86 1391 49
86 1677 76
86 2543 54
86 3238 72
86 4944 30
87 118 94
87 487 20
87 1437 72
87 1866 21
87 2131 65
87 2287 80
87 2929 31
87 2934 11
87 3280 81
88 738 14
88 881 43
88 1222 39
88 1506 83
88 1662 45
88 1984 29
88 2291 94
88 2758 76
88 2873 81
88 3384 1
88 3564 97
88 4018 48
88 4462 71
88 4605 88
88 4662 44
89 1088 34
89 1411 53
89 1497 62
89 1527 25
89 2076 1
89 2167 81
89 2878 79
89 4252 58
90 124 24
90 513 99
90 1214 15
90 1380 46
90 1411 63
90 1690 10
90 2024 11
90 2251 50
90 2436 19
90 3350 91
90 3941 56
91 577 44
91 799 56
91 1433 86
91 1610 35
91 1655 76
91 1742 22
91 1812 52
91 2102 27
91 2582 52
91 3345 60
91 3732 84
91 4396 15
91 4794 38
91 4858 80
92 620 99
92 919 1
92 1097 38
92 1146 86
92 1372 79
92 1968 85
92 2468 43
92 2564 16
92 2823 61
92 3077 68
92 3321 41
92 3922 8
92 4069 67
92 4466 29
92 4883 63
93 912 64
93 1336 70
93 2021 91
93 2181 24
93 3426 79
93 3578 14
93 3833 62
94 309 11
94 465 41
94 517 79
94 1109 1
94 1693 95
94 1802 8
94 2200 57
94 2672 52
94 3146 87
94 3679 32
94 3995 45
94 4450 40
94 4979 77
95 401 85
95 434 53
95 1535 9
95 1549 15
95 2830 55
95 3912 20
95 4101 29
95 4209 72
95 4575 71
96 154 64
96 342 48
96 2054 25
96 2556 44
96 3844 55
96 4224 9
96 4400 82
97 624 53
97 937 89
97 2029 64
97 2519 60
97 2920 20
98 130 80
98 245 57
98 327 62
98 950 88
98 3043 54
98 3429 100
98 3477 89
98 4110 45
98 4568 81
98 4867 67
99 272 84
99 1452 75
99 1963 37
99 2466 10
99 3677 68
99 3998 35
99 4735 40
100 823 85
100 3038 52
100 4196 50
100 4593 67
101 1169 68
101 1402 11
101 1887 90
101 1995 28
101 2483 74
101 2627 82
101 3266 96
101 3488 37
101 4014 75
101 4051 36
101 4081 32
102 1099 73
102 1719 29
102 2178 99
102 3089 71
102 4086 88
