1000 2658
195 347
1 195 8
1 528 50
1 544 74
1 832 59
2 195 31
2 347 73
2 895 45
3 182 79
3 195 24
3 335 10
3 347 41
4 195 66
4 219 93
4 347 43
5 195 88
5 569 4
5 642 28
6 127 30
6 195 41
6 347 13
6 827 4
7 195 70
7 347 10
7 523 58
7 806 61
8 195 34
8 347 100
8 454 79
9 592 17
9 743 36
10 13 98
10 52 27
10 195 13
10 217 68
10 303 11
10 347 34
10 386 80
10 696 50
10 831 80
10 862 22
11 195 68
11 347 73
11 793 94
11 914 37
12 195 86
12 347 46
12 421 29
12 789 92
13 120 95
13 153 58
13 195 2
13 347 54
13 584 9
14 195 45
14 347 69
14 661 91
15 72 25
15 379 97
15 420 31
15 482 4
15 840 23
15 895 67
16 195 50
16 347 25
16 416 2
16 595 54
17 64 78
17 195 9
17 347 29
17 884 34
18 195 99
18 347 82
18 525 36
19 195 14
19 347 66
19 394 15
19 525 64
19 565 37
19 768 26
20 195 70
20 347 16
20 430 95
21 347 30
21 558 2
21 645 18
21 810 96
22 195 6
22 263 5
22 347 52
22 412 99
22 729 89
23 195 24
23 347 6
24 195 83
24 347 53
24 445 67
25 195 17
25 247 38
25 347 39
25 560 45
26 138 2
26 234 98
26 235 72
26 238 29
26 347 38
26 645 59
27 195 78
27 347 98
27 585 95
28 43 5
28 81 10
28 195 32
28 347 46
28 983 76
29 155 36
29 195 99
29 347 43
29 847 100
29 971 69
30 38 13
30 195 61
30 347 58
30 737 95
31 93 9
31 195 96
31 740 69
32 347 14
32 391 31
32 724 7
33 195 63
33 347 43
34 195 66
34 347 83
34 697 53
34 835 68
35 195 22
35 803 96
35 892 13
36 195 72
36 347 2
37 195 91
37 347 32
38 68 39
38 195 58
38 347 17
38 454 91
39 49 41
39 118 80
39 195 36
39 347 7
40 156 73
40 195 99
40 338 96
40 347 20
40 767 55
41 195 24
41 241 90
41 347 61
41 587 6
41 985 27
42 155 24
42 195 7
42 347 14
42 714 71
43 195 39
43 347 95
43 536 21
43 797 45
44 195 67
44 347 35
44 444 27
44 600 95
45 195 64
45 347 39
45 978 45
46 195 91
46 236 51
46 347 60
47 195 24
47 347 48
47 548 86
48 195 18
48 347 73
49 141 40
49 195 48
49 347 86
50 171 97
50 195 86
50 197 24
50 347 21
50 442 45
51 195 69
51 347 36
51 725 16
52 195 26
52 231 35
52 347 43
52 352 12
52 626 80
53 343 53
53 347 45
53 980 96
54 195 19
54 347 97
54 661 93
54 904 16
55 195 92
55 347 34
55 571 70
56 195 98
56 347 54
56 376 48
56 960 26
57 195 11
57 347 63
58 195 12
58 334 9
58 347 78
58 760 62
58 959 26
59 195 36
59 347 69
59 439 96
59 611 77
59 738 68
60 195 40
60 347 75
61 347 32
61 424 57
62 195 2
62 347 73
63 195 61
63 347 95
63 815 85
64 195 56
64 347 90
64 450 8
64 678 16
65 347 94
65 523 70
65 866 81
65 953 56
65 979 56
66 83 7
66 195 64
66 347 3
67 187 77
67 195 9
67 347 50
68 107 32
68 170 45
68 195 39
68 267 9
68 347 98
68 462 52
68 897 50
69 195 4
69 265 32
69 347 32
69 739 15
