10000 99110
2925 265
1 1209 8
1 1800 50
1 1952 74
1 2299 59
1 2338 31
1 2661 73
1 2756 45
1 3097 79
1 3210 24
1 3591 10
1 3646 41
1 3818 66
1 4290 93
1 4662 43
1 4833 88
1 5206 4
1 5470 28
1 6504 30
1 6694 41
1 7396 13
1 7901 4
1 8139 70
1 8447 10
1 8781 58
1 8909 61
1 9500 34
2 198 100
2 333 79
2 772 17
2 984 36
2 1454 98
2 2364 27
2 2523 13
2 2741 68
2 2879 11
2 3154 34
2 3702 80
2 3822 50
2 3898 80
2 4337 22
2 5650 68
2 5722 73
2 5779 94
2 6352 37
2 6756 86
2 7505 46
2 8792 29
3 50 92
3 875 95
3 1120 58
3 1419 2
3 1611 54
3 2276 9
3 2324 45
3 2722 69
3 2737 91
3 3367 25
3 3737 97
3 3752 31
3 3780 4
3 4462 23
3 5079 67
3 5784 50
3 6457 25
3 7113 2
3 7265 54
3 7798 78
3 8339 9
3 9814 29
4 1189 34
4 1212 99
4 1251 82
4 1407 36
4 3499 14
4 3699 66
4 3807 15
4 3985 64
4 4109 37
4 4945 26
4 5283 70
4 5413 16
4 6045 95
4 6094 30
4 6112 2
4 6259 18
4 6425 96
4 6991 6
4 7317 5
4 7347 52
4 7394 99
4 8120 89
4 8579 24
4 9169 6
4 9676 83
4 9827 53
4 9868 67
5 200 17
5 368 38
5 1840 39
5 2118 45
5 3239 2
5 3480 98
5 4475 72
5 4977 29
5 6152 38
5 6395 59
5 6795 78
5 6904 98
5 7083 95
5 7646 5
5 8153 10
5 8323 32
5 8602 46
5 8828 76
5 9440 36
5 9451 99
5 9993 43
6 350 100
6 542 69
6 637 13
6 1340 61
6 2668 58
6 5219 95
6 5366 9
6 5406 96
6 5574 69
6 5983 14
6 7064 31
6 7260 7
6 7359 63
6 7698 43
6 8395 66
6 8771 83
6 9101 53
6 9261 68
6 9555 22
7 125 96
7 730 13
7 2657 72
7 2741 2
7 2757 91
7 3395 32
7 3614 39
7 4331 58
7 4779 17
7 6456 91
7 6554 41
